role,timestamp,instance,arm_requested,arm_reported,rep,timelimit,feasible,objective,obj1,obj2,obj3,wall_solve_s,wall_script_s,stop_reason,assignment_lb,lbbd_iters,full_present,full_aborted,full_skipped,seed_feasible,master_status_full,arm_info,error,raw_info_file
screening_n1,2026-07-27T13:47:02,prob_17,congestion,congestion,0,60.0,True,61760.0,0.0,6928,256.0,45.32,46.91,NO_STOP_ENTRY,,28,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 77, ""1"": 72, ""2"": 80, ""3"": 71}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_17_congestion_rep0.json
screening_n1,2026-07-27T13:47:59,prob_18,baseline,baseline,0,60.0,True,86098.0,0.0,2040,586.0,42.866,44.62,NO_STOP_ENTRY,,6,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_18_baseline_rep0.json
screening_n1,2026-07-27T13:48:55,prob_18,congestion,congestion,0,60.0,True,86098.0,0.0,2040,586.0,44.618,46.19,NO_STOP_ENTRY,,6,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 62, ""1"": 78, ""2"": 68, ""3"": 92}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_18_congestion_rep0.json
screening_n1,2026-07-27T13:49:51,prob_19,baseline,baseline,0,60.0,True,81726.0,0.0,4139,490.0,44.816,46.06,NO_STOP_ENTRY,,8,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_19_baseline_rep0.json
screening_n1,2026-07-27T13:50:47,prob_19,congestion,congestion,0,60.0,True,79063.0,0.0,4105,471.0,45.324,46.55,NO_STOP_ENTRY,,8,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 68, ""1"": 84, ""2"": 65, ""3"": 83}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_19_congestion_rep0.json
screening_n1,2026-07-27T13:51:44,prob_20,baseline,baseline,0,60.0,True,574498.0,16.0,1721,1100.0,34.046,35.69,NO_STOP_ENTRY,,1,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_20_baseline_rep0.json
screening_n1,2026-07-27T13:52:29,prob_20,congestion,congestion,0,60.0,True,906572.0,28.0,2066,1180.0,26.477,27.85,NO_STOP_ENTRY,,0,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 60, ""1"": 52, ""2"": 64, ""3"": 62, ""4"": 62}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_20_congestion_rep0.json
screening_n1,2026-07-27T13:53:20,prob_22,baseline,baseline,0,60.0,True,1770944.0,54.0,2054,2612.0,37.807,39.31,NO_STOP_ENTRY,,1,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_22_baseline_rep0.json
screening_n1,2026-07-27T13:54:12,prob_22,congestion,congestion,0,60.0,True,1632522.0,32.0,3822,2986.0,31.123,32.46,NO_STOP_ENTRY,,1,True,False,,True,,"{""arm"": ""congestion"", ""degraded"": 0, ""experienced_overload"": 0, ""bay_sizes"": {""0"": 65, ""1"": 35}}",,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_22_congestion_rep0.json
screening_n1,2026-07-27T13:54:55,prob_23,baseline,baseline,0,60.0,True,4468538.0,327.0,735,148.0,47.863,49.6,NO_STOP_ENTRY,,0,True,False,,True,OPTIMAL,,,/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/d2_raw_info/prob_23_baseline_rep0.json
